method,stage,train_na,precision,recall,f1,accuracy,auc_roc,auc_pr,infer_ms,status,note
ADPretrain-only official fixed-test,S0,50/0,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S1,100/1,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S2,150/3,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S3,200/5,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S4,300/10,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S5,400/20,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S6,500/40,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S7,560/80,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official fixed-test,S8,560/139,0.7714285714285715,0.9,0.8307692307692307,0.89,0.9294047619047618,0.8245554612028083,28.23277708142996,ok,No training; same fixed-test result repeated by stage.
ADPretrain-only official full-original,full_original,ref 560/0; eval 140/199,0.8584474885844748,0.9447236180904522,0.8995215311004785,0.8761061946902655,0.9309404163675521,0.9366378666626193,25.53916281874904,ok,Uses all original test defects; not same fixed-test as stage curves.
AHL plain no-CHMM,S0,50/0,0.5254237288135594,0.5166666666666667,0.5210084033613446,0.715,0.6830952380952381,0.5245641198190809,9.692439883947372,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL plain no-CHMM,S2,150/3,0.84,0.7,0.7636363636363636,0.87,0.8735714285714287,0.7732258972889445,5.960779090722402,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL plain no-CHMM,S4,300/10,0.7878787878787878,0.8666666666666667,0.8253968253968254,0.89,0.9278571428571429,0.8727323051977206,6.509963572025299,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL plain no-CHMM,S6,500/40,0.8823529411764706,0.75,0.8108108108108107,0.895,0.9279761904761904,0.8701558818446063,7.872560073932012,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL plain no-CHMM,S8,560/139,0.8135593220338984,0.8,0.8067226890756303,0.885,0.9223809523809524,0.8654155627371726,6.757171203692754,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL + CHMM ablation,S0,50/0,0.3,1.0,0.4615384615384615,0.3,0.28309523809523807,0.2227010137495618,5.9078216552734375,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL + CHMM ablation,S2,150/3,0.8269230769230769,0.7166666666666667,0.7678571428571429,0.87,0.8948809523809523,0.7928059591786363,4.038801789283752,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL + CHMM ablation,S4,300/10,0.8245614035087719,0.7833333333333333,0.8034188034188033,0.885,0.8990476190476191,0.812390550904013,6.6404105226198835,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL + CHMM ablation,S6,500/40,0.88,0.7333333333333333,0.8,0.89,0.9044047619047619,0.8256845868434382,5.887015362580617,ok,fixed-test best-F1 threshold; AHL score evaluation.
AHL + CHMM ablation,S8,560/139,0.819672131147541,0.8333333333333334,0.8264462809917356,0.895,0.9149999999999999,0.8337806714979044,5.838151375452678,ok,fixed-test best-F1 threshold; AHL score evaluation.
YOLO26s-cls recovered eval,S0,50/0,,,,,,,,skipped,Skipped because no anomaly sample exists for binary supervised classification.
YOLO26s-cls recovered eval,S1,100/1,0.8421052631578947,0.5333333333333333,0.653061224489796,0.83,0.7297619047619047,0.7016756397000744,37.37014379352331,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S2,150/3,0.4827586206896552,0.7,0.5714285714285714,0.685,0.7073809523809524,0.5651120400411038,35.644450187683105,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S3,200/5,0.6808510638297872,0.5333333333333333,0.5981308411214953,0.785,0.7264285714285714,0.6666460033509849,38.07827204465866,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S4,300/10,0.6323529411764706,0.7166666666666667,0.671875,0.79,0.8278571428571428,0.7479425772733286,32.838802579790354,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S5,400/20,0.896551724137931,0.8666666666666667,0.8813559322033899,0.93,0.941547619047619,0.911195537704997,36.046412009745836,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S6,500/40,0.875,0.8166666666666667,0.8448275862068966,0.91,0.9121428571428571,0.8960645759353418,31.428300496190786,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S7,560/80,0.9122807017543859,0.8666666666666667,0.8888888888888888,0.935,0.9508333333333333,0.923585025179214,31.198340617120266,ok,Recovered from retry3 best.pt; no retraining.
YOLO26s-cls recovered eval,S8,560/139,0.9,0.9,0.9,0.94,0.9651190476190477,0.9448189534457518,34.74473645910621,ok,Recovered from retry3 best.pt; no retraining.
