role,label,score,stage_rel,source_rel
test_normal,0,-0.7248857021331787,test/good/test_normal__test__good__1_831.bmp,test/good/1_831.bmp
test_normal,0,-0.9761248826980591,test/good/test_normal__test__good__1_704.bmp,test/good/1_704.bmp
test_normal,0,-0.692927360534668,test/good/test_normal__test__good__1_61.bmp,test/good/1_61.bmp
test_normal,0,0.36766624450683594,test/good/test_normal__test__good__4_107.bmp,test/good/4_107.bmp
test_normal,0,-1.6184859871864319,test/good/test_normal__test__good__4_118.bmp,test/good/4_118.bmp
test_normal,0,-1.2045464515686035,test/good/test_normal__test__good__1_859.bmp,test/good/1_859.bmp
test_normal,0,-0.45975208282470703,test/good/test_normal__test__good__2_862.bmp,test/good/2_862.bmp
test_normal,0,-1.1002602577209473,test/good/test_normal__test__good__1_871.bmp,test/good/1_871.bmp
test_normal,0,-1.0883606672286987,test/good/test_normal__test__good__1_720.bmp,test/good/1_720.bmp
test_normal,0,-0.7408082485198975,test/good/test_normal__test__good__1_750.bmp,test/good/1_750.bmp
test_normal,0,-0.814183235168457,test/good/test_normal__test__good__2_645.bmp,test/good/2_645.bmp
test_normal,0,-0.616485595703125,test/good/test_normal__test__good__2_851.bmp,test/good/2_851.bmp
test_normal,0,-0.9253494143486023,test/good/test_normal__test__good__3_134.bmp,test/good/3_134.bmp
test_normal,0,-0.7561478614807129,test/good/test_normal__test__good__2_767.bmp,test/good/2_767.bmp
test_normal,0,-1.0305854082107544,test/good/test_normal__test__good__2_720.bmp,test/good/2_720.bmp
test_normal,0,-0.5320858955383301,test/good/test_normal__test__good__1_718.bmp,test/good/1_718.bmp
test_normal,0,-1.1359573602676392,test/good/test_normal__test__good__1_888.bmp,test/good/1_888.bmp
test_normal,0,-0.7324235439300537,test/good/test_normal__test__good__1_76.bmp,test/good/1_76.bmp
test_normal,0,-1.071643352508545,test/good/test_normal__test__good__2_760.bmp,test/good/2_760.bmp
test_normal,0,-0.3326071500778198,test/good/test_normal__test__good__4_116.bmp,test/good/4_116.bmp
test_normal,0,-0.29996824264526367,test/good/test_normal__test__good__3_135.bmp,test/good/3_135.bmp
test_normal,0,-0.4917891025543213,test/good/test_normal__test__good__2_814.bmp,test/good/2_814.bmp
test_normal,0,-0.7303094863891602,test/good/test_normal__test__good__2_631.bmp,test/good/2_631.bmp
test_normal,0,-0.686015248298645,test/good/test_normal__test__good__4_87.bmp,test/good/4_87.bmp
calib_normal,0,-1.0553758144378662,test/good/calib_normal__train__good__4_69.bmp,train/good/4_69.bmp
test_normal,0,-0.49741315841674805,test/good/test_normal__test__good__2_685.bmp,test/good/2_685.bmp
test_normal,0,-0.9550364017486572,test/good/test_normal__test__good__1_777.bmp,test/good/1_777.bmp
test_normal,0,-1.1705260276794434,test/good/test_normal__test__good__1_852.bmp,test/good/1_852.bmp
test_normal,0,-0.7018953561782837,test/good/test_normal__test__good__2_766.bmp,test/good/2_766.bmp
test_normal,0,-0.84462571144104,test/good/test_normal__test__good__1_747.bmp,test/good/1_747.bmp
test_normal,0,-1.5504053831100464,test/good/test_normal__test__good__1_117.bmp,test/good/1_117.bmp
test_normal,0,-1.148356318473816,test/good/test_normal__test__good__4_85.bmp,test/good/4_85.bmp
test_normal,0,-0.5246555805206299,test/good/test_normal__test__good__2_775.bmp,test/good/2_775.bmp
test_normal,0,-1.2346558570861816,test/good/test_normal__test__good__1_764.bmp,test/good/1_764.bmp
test_normal,0,-1.1951503157615662,test/good/test_normal__test__good__1_854.bmp,test/good/1_854.bmp
calib_normal,0,-1.1950455904006958,test/good/calib_normal__train__good__1_723.bmp,train/good/1_723.bmp
calib_normal,0,-0.9488767385482788,test/good/calib_normal__train__good__2_661.bmp,train/good/2_661.bmp
test_normal,0,-0.7271175384521484,test/good/test_normal__test__good__2_115.bmp,test/good/2_115.bmp
test_normal,0,-1.280091404914856,test/good/test_normal__test__good__1_732.bmp,test/good/1_732.bmp
test_normal,0,-0.727407693862915,test/good/test_normal__test__good__1_670.bmp,test/good/1_670.bmp
test_normal,0,-1.2672054767608643,test/good/test_normal__test__good__4_70.bmp,test/good/4_70.bmp
test_normal,0,-0.3208850622177124,test/good/test_normal__test__good__2_715.bmp,test/good/2_715.bmp
test_normal,0,-0.9110807180404663,test/good/test_normal__test__good__2_51.bmp,test/good/2_51.bmp
test_normal,0,-0.2168290615081787,test/good/test_normal__test__good__3_70.bmp,test/good/3_70.bmp
test_normal,0,-1.1961363554000854,test/good/test_normal__test__good__2_134.bmp,test/good/2_134.bmp
test_normal,0,0.15954279899597168,test/good/test_normal__test__good__3_115.bmp,test/good/3_115.bmp
test_normal,0,-0.5302417278289795,test/good/test_normal__test__good__2_861.bmp,test/good/2_861.bmp
test_normal,0,-0.9588314294815063,test/good/test_normal__test__good__1_77.bmp,test/good/1_77.bmp
