role,label,score,stage_rel,source_rel
test_normal,0,0.5678631663322449,test/good/test_normal__test__good__1_831.bmp,test/good/1_831.bmp
calib_normal,0,0.4472302794456482,test/good/calib_normal__train__good__1_724.bmp,train/good/1_724.bmp
test_normal,0,0.540853351354599,test/good/test_normal__test__good__1_704.bmp,test/good/1_704.bmp
test_normal,0,0.537143349647522,test/good/test_normal__test__good__1_61.bmp,test/good/1_61.bmp
test_normal,0,1.7140080332756042,test/good/test_normal__test__good__4_107.bmp,test/good/4_107.bmp
calib_normal,0,0.6557480096817017,test/good/calib_normal__train__good__1_945.bmp,train/good/1_945.bmp
calib_normal,0,0.3551054298877716,test/good/calib_normal__train__good__1_705.bmp,train/good/1_705.bmp
test_normal,0,0.22339504957199097,test/good/test_normal__test__good__4_118.bmp,test/good/4_118.bmp
calib_normal,0,0.627683699131012,test/good/calib_normal__train__good__2_746.bmp,train/good/2_746.bmp
calib_normal,0,0.2757701277732849,test/good/calib_normal__train__good__1_944.bmp,train/good/1_944.bmp
test_normal,0,0.34878623485565186,test/good/test_normal__test__good__1_859.bmp,test/good/1_859.bmp
test_normal,0,0.5936373472213745,test/good/test_normal__test__good__2_862.bmp,test/good/2_862.bmp
test_normal,0,0.33205175399780273,test/good/test_normal__test__good__1_871.bmp,test/good/1_871.bmp
calib_normal,0,0.6032542586326599,test/good/calib_normal__train__good__1_701.bmp,train/good/1_701.bmp
test_normal,0,0.3820430040359497,test/good/test_normal__test__good__1_720.bmp,test/good/1_720.bmp
calib_normal,0,0.3486778140068054,test/good/calib_normal__train__good__1_633.bmp,train/good/1_633.bmp
test_normal,0,0.5371825695037842,test/good/test_normal__test__good__1_750.bmp,test/good/1_750.bmp
calib_normal,0,0.5148114562034607,test/good/calib_normal__train__good__2_829.bmp,train/good/2_829.bmp
calib_normal,0,0.6627609133720398,test/good/calib_normal__train__good__2_707.bmp,train/good/2_707.bmp
test_normal,0,0.4617714285850525,test/good/test_normal__test__good__2_645.bmp,test/good/2_645.bmp
calib_normal,0,0.4307836890220642,test/good/calib_normal__train__good__2_843.bmp,train/good/2_843.bmp
test_normal,0,0.5096454620361328,test/good/test_normal__test__good__2_851.bmp,test/good/2_851.bmp
test_normal,0,0.48876523971557617,test/good/test_normal__test__good__3_134.bmp,test/good/3_134.bmp
test_normal,0,0.6106435656547546,test/good/test_normal__test__good__2_767.bmp,test/good/2_767.bmp
calib_normal,0,0.4571250379085541,test/good/calib_normal__train__good__1_780.bmp,train/good/1_780.bmp
calib_normal,0,0.5382954478263855,test/good/calib_normal__train__good__4_90.bmp,train/good/4_90.bmp
calib_normal,0,0.3545951843261719,test/good/calib_normal__train__good__1_761.bmp,train/good/1_761.bmp
calib_normal,0,0.26491427421569824,test/good/calib_normal__train__good__1_915.bmp,train/good/1_915.bmp
test_normal,0,0.4593701660633087,test/good/test_normal__test__good__2_720.bmp,test/good/2_720.bmp
test_normal,0,0.6989343762397766,test/good/test_normal__test__good__1_718.bmp,test/good/1_718.bmp
test_normal,0,0.39115095138549805,test/good/test_normal__test__good__1_888.bmp,test/good/1_888.bmp
test_normal,0,1.0003771781921387,test/good/test_normal__test__good__1_76.bmp,test/good/1_76.bmp
test_normal,0,0.4115526080131531,test/good/test_normal__test__good__2_760.bmp,test/good/2_760.bmp
test_normal,0,0.9477401375770569,test/good/test_normal__test__good__4_116.bmp,test/good/4_116.bmp
test_normal,0,0.6524327993392944,test/good/test_normal__test__good__3_135.bmp,test/good/3_135.bmp
calib_normal,0,0.7107203006744385,test/good/calib_normal__train__good__2_695.bmp,train/good/2_695.bmp
test_normal,0,0.5640318393707275,test/good/test_normal__test__good__2_814.bmp,test/good/2_814.bmp
test_normal,0,0.5634914338588715,test/good/test_normal__test__good__2_631.bmp,test/good/2_631.bmp
test_normal,0,0.5931088924407959,test/good/test_normal__test__good__4_87.bmp,test/good/4_87.bmp
test_normal,0,0.5766482353210449,test/good/test_normal__test__good__2_685.bmp,test/good/2_685.bmp
calib_normal,0,0.6458446979522705,test/good/calib_normal__train__good__2_76.bmp,train/good/2_76.bmp
test_normal,0,0.3900887072086334,test/good/test_normal__test__good__1_777.bmp,test/good/1_777.bmp
calib_normal,0,0.5170430541038513,test/good/calib_normal__train__good__2_782.bmp,train/good/2_782.bmp
calib_normal,0,0.39223799109458923,test/good/calib_normal__train__good__1_844.bmp,train/good/1_844.bmp
test_normal,0,0.23512467741966248,test/good/test_normal__test__good__1_852.bmp,test/good/1_852.bmp
calib_normal,0,0.45758235454559326,test/good/calib_normal__train__good__1_726.bmp,train/good/1_726.bmp
calib_normal,0,0.3112453520298004,test/good/calib_normal__train__good__1_677.bmp,train/good/1_677.bmp
test_normal,0,0.5995429754257202,test/good/test_normal__test__good__2_766.bmp,test/good/2_766.bmp
calib_normal,0,0.7100439667701721,test/good/calib_normal__train__good__2_85.bmp,train/good/2_85.bmp
test_normal,0,0.7251262664794922,test/good/test_normal__test__good__1_747.bmp,test/good/1_747.bmp
test_normal,0,0.14534059166908264,test/good/test_normal__test__good__1_117.bmp,test/good/1_117.bmp
test_normal,0,0.39799022674560547,test/good/test_normal__test__good__4_85.bmp,test/good/4_85.bmp
calib_normal,0,0.762554943561554,test/good/calib_normal__train__good__2_855.bmp,train/good/2_855.bmp
calib_normal,0,0.4393504858016968,test/good/calib_normal__train__good__2_633.bmp,train/good/2_633.bmp
calib_normal,0,0.5769914984703064,test/good/calib_normal__train__good__1_128.bmp,train/good/1_128.bmp
calib_normal,0,0.3673645853996277,test/good/calib_normal__train__good__2_94.bmp,train/good/2_94.bmp
test_normal,0,0.6048968434333801,test/good/test_normal__test__good__2_775.bmp,test/good/2_775.bmp
test_normal,0,0.2556692957878113,test/good/test_normal__test__good__1_764.bmp,test/good/1_764.bmp
calib_normal,0,0.35977259278297424,test/good/calib_normal__train__good__1_792.bmp,train/good/1_792.bmp
test_normal,0,0.19255328178405762,test/good/test_normal__test__good__1_854.bmp,test/good/1_854.bmp
calib_normal,0,0.1565372347831726,test/good/calib_normal__train__good__1_801.bmp,train/good/1_801.bmp
calib_normal,0,0.6434122920036316,test/good/calib_normal__train__good__1_861.bmp,train/good/1_861.bmp
calib_normal,0,0.6575660705566406,test/good/calib_normal__train__good__2_828.bmp,train/good/2_828.bmp
test_normal,0,0.711494505405426,test/good/test_normal__test__good__2_115.bmp,test/good/2_115.bmp
calib_normal,0,0.6231611371040344,test/good/calib_normal__train__good__2_675.bmp,train/good/2_675.bmp
test_normal,0,0.35290101170539856,test/good/test_normal__test__good__1_732.bmp,test/good/1_732.bmp
test_normal,0,0.49536633491516113,test/good/test_normal__test__good__1_670.bmp,test/good/1_670.bmp
test_normal,0,0.5333396196365356,test/good/test_normal__test__good__4_70.bmp,test/good/4_70.bmp
test_normal,0,0.7090016007423401,test/good/test_normal__test__good__2_715.bmp,test/good/2_715.bmp
calib_normal,0,0.2739025950431824,test/good/calib_normal__train__good__1_657.bmp,train/good/1_657.bmp
test_normal,0,0.4357103407382965,test/good/test_normal__test__good__2_51.bmp,test/good/2_51.bmp
calib_normal,0,0.430730938911438,test/good/calib_normal__train__good__1_651.bmp,train/good/1_651.bmp
test_normal,0,0.7769405841827393,test/good/test_normal__test__good__3_70.bmp,test/good/3_70.bmp
test_normal,0,0.34928762912750244,test/good/test_normal__test__good__2_134.bmp,test/good/2_134.bmp
test_normal,0,1.2386560440063477,test/good/test_normal__test__good__3_115.bmp,test/good/3_115.bmp
test_normal,0,0.6244514584541321,test/good/test_normal__test__good__2_861.bmp,test/good/2_861.bmp
test_normal,0,0.5054253935813904,test/good/test_normal__test__good__1_77.bmp,test/good/1_77.bmp
test_normal,0,0.4775972366333008,test/good/test_normal__test__good__2_823.bmp,test/good/2_823.bmp
calib_normal,0,0.4986475706100464,test/good/calib_normal__train__good__2_779.bmp,train/good/2_779.bmp
test_normal,0,0.5407528877258301,test/good/test_normal__test__good__2_99.bmp,test/good/2_99.bmp
calib_normal,0,0.4716542959213257,test/good/calib_normal__train__good__2_722.bmp,train/good/2_722.bmp
test_normal,0,0.4800823926925659,test/good/test_normal__test__good__1_841.bmp,test/good/1_841.bmp
test_normal,0,0.5473557710647583,test/good/test_normal__test__good__2_771.bmp,test/good/2_771.bmp
test_normal,0,0.6250895261764526,test/good/test_normal__test__good__2_647.bmp,test/good/2_647.bmp
test_normal,0,0.724112868309021,test/good/test_normal__test__good__2_646.bmp,test/good/2_646.bmp
calib_normal,0,0.42076587677001953,test/good/calib_normal__train__good__1_784.bmp,train/good/1_784.bmp
test_normal,0,0.2168731391429901,test/good/test_normal__test__good__1_674.bmp,test/good/1_674.bmp
calib_normal,0,0.30565065145492554,test/good/calib_normal__train__good__1_733.bmp,train/good/1_733.bmp
test_normal,0,0.6711541414260864,test/good/test_normal__test__good__2_725.bmp,test/good/2_725.bmp
test_normal,0,0.26910799741744995,test/good/test_normal__test__good__1_819.bmp,test/good/1_819.bmp
calib_normal,0,0.4542124271392822,test/good/calib_normal__train__good__1_642.bmp,train/good/1_642.bmp
test_normal,0,0.5972260236740112,test/good/test_normal__test__good__1_70.bmp,test/good/1_70.bmp
test_normal,0,0.463561475276947,test/good/test_normal__test__good__1_716.bmp,test/good/1_716.bmp
test_normal,0,0.529580295085907,test/good/test_normal__test__good__1_648.bmp,test/good/1_648.bmp
test_normal,0,0.24669182300567627,test/good/test_normal__test__good__1_708.bmp,test/good/1_708.bmp
calib_normal,0,0.2716008722782135,test/good/calib_normal__train__good__1_743.bmp,train/good/1_743.bmp
test_normal,0,0.3887362778186798,test/good/test_normal__test__good__4_124.bmp,test/good/4_124.bmp
calib_normal,0,0.4959009289741516,test/good/calib_normal__train__good__1_951.bmp,train/good/1_951.bmp
test_normal,0,0.5570803284645081,test/good/test_normal__test__good__2_802.bmp,test/good/2_802.bmp
test_normal,0,0.6731378436088562,test/good/test_normal__test__good__4_84.bmp,test/good/4_84.bmp
test_normal,0,0.4583709239959717,test/good/test_normal__test__good__1_872.bmp,test/good/1_872.bmp
test_normal,0,0.4339618682861328,test/good/test_normal__test__good__1_826.bmp,test/good/1_826.bmp
test_normal,0,0.5865316987037659,test/good/test_normal__test__good__2_821.bmp,test/good/2_821.bmp
calib_normal,0,0.38722559809684753,test/good/calib_normal__train__good__1_894.bmp,train/good/1_894.bmp
test_normal,0,0.5698347091674805,test/good/test_normal__test__good__2_807.bmp,test/good/2_807.bmp
test_normal,0,0.3490672707557678,test/good/test_normal__test__good__1_816.bmp,test/good/1_816.bmp
calib_normal,0,0.349336177110672,test/good/calib_normal__train__good__1_853.bmp,train/good/1_853.bmp
calib_normal,0,0.312371164560318,test/good/calib_normal__train__good__1_729.bmp,train/good/1_729.bmp
calib_normal,0,0.48817765712738037,test/good/calib_normal__train__good__1_75.bmp,train/good/1_75.bmp
calib_normal,0,0.6158131957054138,test/good/calib_normal__train__good__2_655.bmp,train/good/2_655.bmp
test_normal,0,0.3912447690963745,test/good/test_normal__test__good__1_700.bmp,test/good/1_700.bmp
calib_normal,0,0.24585935473442078,test/good/calib_normal__train__good__1_867.bmp,train/good/1_867.bmp
calib_normal,0,0.4303627014160156,test/good/calib_normal__train__good__1_737.bmp,train/good/1_737.bmp
calib_normal,0,0.7096666693687439,test/good/calib_normal__train__good__3_103.bmp,train/good/3_103.bmp
calib_normal,0,0.9256410002708435,test/good/calib_normal__train__good__1_74.bmp,train/good/1_74.bmp
test_normal,0,0.6209055781364441,test/good/test_normal__test__good__3_106.bmp,test/good/3_106.bmp
calib_normal,0,0.36362531781196594,test/good/calib_normal__train__good__1_713.bmp,train/good/1_713.bmp
calib_normal,0,0.7567079663276672,test/good/calib_normal__train__good__2_793.bmp,train/good/2_793.bmp
test_normal,0,0.4542238116264343,test/good/test_normal__test__good__1_931.bmp,test/good/1_931.bmp
calib_normal,0,0.319744735956192,test/good/calib_normal__train__good__1_647.bmp,train/good/1_647.bmp
test_normal,0,0.5546573996543884,test/good/test_normal__test__good__2_667.bmp,test/good/2_667.bmp
calib_normal,0,0.727586567401886,test/good/calib_normal__train__good__2_636.bmp,train/good/2_636.bmp
test_normal,0,0.2345789670944214,test/good/test_normal__test__good__1_836.bmp,test/good/1_836.bmp
test_normal,0,0.5129126310348511,test/good/test_normal__test__good__2_827.bmp,test/good/2_827.bmp
test_normal,0,0.3518415689468384,test/good/test_normal__test__good__1_676.bmp,test/good/1_676.bmp
calib_normal,0,-0.438495010137558,test/good/calib_normal__train__good__1_102.bmp,train/good/1_102.bmp
test_normal,0,1.1540964841842651,test/good/test_normal__test__good__3_77.bmp,test/good/3_77.bmp
calib_normal,0,0.44432753324508667,test/good/calib_normal__train__good__1_754.bmp,train/good/1_754.bmp
calib_normal,0,0.31547001004219055,test/good/calib_normal__train__good__1_808.bmp,train/good/1_808.bmp
calib_normal,0,0.5653685331344604,test/good/calib_normal__train__good__2_699.bmp,train/good/2_699.bmp
