stage,alpha,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_tp,test_fp,test_tn,test_fn,auc_roc,auc_pr
S5,0.0,1.6346897766921653,0.7608695652173914,0.7142857142857143,0.7368421052631581,0.8322147651006712,0.11,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.03888888888888889,52,7,173,18,0.944047619047619,0.9059148331323722
S5,0.01,1.4951938339515576,0.75,0.7346938775510204,0.7422680412371135,0.8322147651006712,0.12,0.8852459016393442,0.7714285714285715,0.8244274809160306,0.908,0.03888888888888889,54,7,173,16,0.9468253968253969,0.9082961178892665
S5,0.02,1.5823994482549688,0.7659574468085106,0.7346938775510204,0.7499999999999999,0.8389261744966443,0.11,0.8833333333333333,0.7571428571428571,0.8153846153846154,0.904,0.03888888888888889,53,7,173,17,0.9492063492063493,0.9100090540400139
S5,0.03,1.6696050625583805,0.7659574468085106,0.7346938775510204,0.7499999999999999,0.8389261744966443,0.11,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.03888888888888889,52,7,173,18,0.9516666666666668,0.9124767013228542
S5,0.04,1.756810676861792,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.03888888888888889,52,7,173,18,0.9543650793650794,0.9150554706810028
S5,0.05,1.8051173161457656,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.03888888888888889,52,7,173,18,0.9567460317460318,0.9174519663085451
S5,0.06,1.8392028240364857,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8813559322033898,0.7428571428571429,0.8062015503875969,0.9,0.03888888888888889,52,7,173,18,0.9589682539682539,0.9189142547144493
S5,0.07,1.8732883319272058,0.782608695652174,0.7346938775510204,0.7578947368421053,0.8456375838926175,0.1,0.8793103448275862,0.7285714285714285,0.796875,0.896,0.03888888888888889,51,7,173,19,0.961031746031746,0.9203175466002962
S5,0.08,2.060830065204999,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9090909090909091,0.7142857142857143,0.8,0.9,0.027777777777777776,50,5,175,20,0.9624603174603175,0.9214588490001379
S5,0.09,2.1039645347984646,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9090909090909091,0.7142857142857143,0.8,0.9,0.027777777777777776,50,5,175,20,0.9645238095238096,0.9233633537313514
S5,0.1,2.1470990043919307,0.813953488372093,0.7142857142857143,0.7608695652173914,0.8523489932885906,0.08,0.9090909090909091,0.7142857142857143,0.8,0.9,0.027777777777777776,50,5,175,20,0.966031746031746,0.924158996332982
S5,0.11,2.0096303634900865,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8928571428571429,0.7142857142857143,0.7936507936507937,0.896,0.03333333333333333,50,6,174,20,0.9676190476190476,0.925243738448914
S5,0.12,2.0437158713808063,0.8181818181818182,0.7346938775510204,0.7741935483870968,0.8590604026845637,0.08,0.8928571428571429,0.7142857142857143,0.7936507936507937,0.896,0.03333333333333333,50,6,174,20,0.9687301587301588,0.9265830357266162
