Iteration,Stage,Method,Threshold,Calib P,Calib R,Calib F1,Calib FPR,Constraint satisfied,P,R,F1,Acc,TP,FP,TN,FN
0,S5,ADP-only-DINO,1.3925561904907227,0.5116279069767442,0.8979591836734694,0.6518518518518518,0.42,True,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1
0,S5,AHL-DINO,0.41484314,0.4375,1.0,0.6086956521739131,0.63,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
0,S5,bridge_alpha_0.35,2.004663685684214,0.711864406779661,0.8571428571428571,0.7777777777777777,0.17,True,0.8873239436619719,0.9,0.8936170212765958,0.94,63,8,172,7
1,S5,ADP-only-DINO,1.3925561904907227,0.6338028169014085,0.9183673469387755,0.7500000000000001,0.26,True,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1
1,S5,AHL-DINO,0.41484314,0.5227272727272727,0.9387755102040817,0.6715328467153285,0.42,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
1,S5,bridge_alpha_0.35,2.004663685684214,0.8431372549019608,0.8775510204081632,0.86,0.08,True,0.8873239436619719,0.9,0.8936170212765958,0.94,63,8,172,7
2,S5,ADP-only-DINO,1.5180679559707642,0.56,0.8571428571428571,0.6774193548387096,0.33,True,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.904,66,20,160,4
2,S5,AHL-DINO,0.4400655,0.5121951219512195,0.8571428571428571,0.6412213740458015,0.4,True,0.7209302325581395,0.8857142857142857,0.7948717948717948,0.872,62,24,156,8
2,S5,bridge_alpha_0.35,1.8033917465153972,0.6885245901639344,0.8571428571428571,0.7636363636363637,0.19,True,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,64,9,171,6
3,S5,ADP-only-DINO,1.4028525352478027,0.4725274725274725,0.8775510204081632,0.6142857142857142,0.48,True,0.6699029126213593,0.9857142857142858,0.7976878612716762,0.86,69,34,146,1
3,S5,AHL-DINO,0.41484314,0.4519230769230769,0.9591836734693877,0.6143790849673203,0.57,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
3,S5,bridge_alpha_0.35,1.2580328951170716,0.6176470588235294,0.8571428571428571,0.717948717948718,0.26,True,0.8170731707317073,0.9571428571428572,0.881578947368421,0.928,67,15,165,3
4,S5,ADP-only-DINO,1.5180679559707642,0.5675675675675675,0.8571428571428571,0.6829268292682926,0.32,True,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.904,66,20,160,4
4,S5,AHL-DINO,0.4400655,0.49411764705882355,0.8571428571428571,0.626865671641791,0.43,True,0.7209302325581395,0.8857142857142857,0.7948717948717948,0.872,62,24,156,8
4,S5,bridge_alpha_0.35,2.2217775440656613,0.8235294117647058,0.8571428571428571,0.84,0.09,True,0.8805970149253731,0.8428571428571429,0.8613138686131387,0.924,59,8,172,11
5,S5,ADP-only-DINO,1.5724363327026367,0.6666666666666666,0.8571428571428571,0.75,0.21,True,0.8024691358024691,0.9285714285714286,0.8609271523178809,0.916,65,16,164,5
5,S5,AHL-DINO,0.41484314,0.44761904761904764,0.9591836734693877,0.6103896103896104,0.58,True,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5
5,S5,bridge_alpha_0.35,1.7830212442567703,0.7,0.8571428571428571,0.7706422018348624,0.18,True,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,64,9,171,6
6,S5,ADP-only-DINO,1.5180679559707642,0.6268656716417911,0.8571428571428571,0.7241379310344828,0.25,True,0.7674418604651163,0.9428571428571428,0.8461538461538461,0.904,66,20,160,4
6,S5,AHL-DINO,0.39459205,0.4336283185840708,1.0,0.6049382716049383,0.64,True,0.5537190082644629,0.9571428571428572,0.7015706806282722,0.772,67,54,126,3
6,S5,bridge_alpha_0.35,1.2580328951170716,0.6923076923076923,0.9183673469387755,0.7894736842105262,0.2,True,0.8170731707317073,0.9571428571428572,0.881578947368421,0.928,67,15,165,3
7,S5,ADP-only-DINO,1.5350812673568726,0.6285714285714286,0.8979591836734694,0.7394957983193275,0.26,True,0.7857142857142857,0.9428571428571428,0.8571428571428571,0.912,66,18,162,4
