Stage,Method,F1 mean,F1 std,F1 p05,F1 p50,F1 p95,P mean,R mean,Acc mean,FP mean,FN mean,win_rate_vs_ADP,win_rate_vs_AHL
S5,ADP-only-DINO,0.8057703090001493,0.04814338280023598,0.7582417582417583,0.7931034482758621,0.8571428571428571,0.69895102289165,0.9634285714285714,0.86612,30.91,2.56,,0.74
S5,AHL-DINO,0.7801197512555775,0.023590073909760735,0.760233918128655,0.7888438525381201,0.8104575163398692,0.6936691624870316,0.8997142857142859,0.8567600000000002,28.79,7.02,0.26,
S5,bridge_alpha_0.35,0.8815067215370738,0.01844584678647234,0.8474807244038013,0.8936170212765958,0.8951048951048951,0.860260249544313,0.9085714285714288,0.93136,10.76,6.4,1.0,1.0
S6,ADP-only-DINO,0.8093588360064635,0.0301945505592532,0.7582417582417583,0.7931034482758621,0.8463993453355155,0.7006874557411372,0.966,0.87104,29.86,2.38,,0.49
S6,AHL-DINO,0.8041905018937898,0.042624468025263255,0.6732673267326732,0.8098159509202454,0.8428571428571429,0.7279649631255554,0.9137142857142857,0.8722000000000003,25.91,6.04,0.48,
S6,bridge_alpha_0.35,0.8882597011895167,0.015598462442202915,0.8587205387205388,0.8896079177769318,0.9150326797385622,0.8631249735412351,0.9201428571428574,0.93548,10.54,5.59,0.97,0.99
S7,ADP-only-DINO,0.8099267546889567,0.053523504877905276,0.7179487179487181,0.8405797101449276,0.851063829787234,0.8300320951123971,0.808142857142857,0.8961200000000002,12.54,13.43,,0.8
S7,AHL-DINO,0.7720082948337093,0.03933854344790251,0.7027027027027027,0.7899159663865546,0.8405797101449276,0.9354459975272943,0.6641428571428573,0.8917200000000003,3.56,23.51,0.2,
S7,bridge_alpha_0.35,0.8706899973333998,0.021307243620164635,0.8567099567099565,0.8676470588235294,0.8918918918918919,0.8848104282416794,0.8607142857142857,0.9289600000000001,8.01,9.75,0.97,1.0
S8,ADP-only-DINO,0.8039835061105116,0.05714627365861993,0.7282703172533681,0.8382352941176471,0.8463993453355155,0.8297836276033833,0.7988571428571427,0.8936400000000002,12.51,14.08,,0.66
S8,AHL-DINO,0.8037438208684106,0.030760086840978213,0.7521367521367521,0.8148148148148148,0.823529411764706,0.8693351748597329,0.7535714285714286,0.8980800000000001,8.23,17.25,0.34,
S8,bridge_alpha_0.70,0.8455680675781285,0.02213861275492219,0.8,0.8507462686567163,0.8592592592592593,0.8667610443036554,0.834,0.9144000000000002,9.78,11.62,0.84,0.92
