method,stage,status,policy,threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,auc_roc,auc_pr,train_normal,train_anomaly,calib_normal,calib_anomaly,test_normal,test_anomaly,time_adpretrain_feature_ms,time_ahl_process_ms,time_total_ms,weights,reason,metrics_json
AHL-DINO,S0,ok,calib_best_f1_with_recall_ge_0.90,-0.6529957,0.4025974025974026,0.8857142857142857,0.5535714285714286,0.6,62,92,88,8,0.8473015873015873,0.7653125417887732,50,0,100,49,180,70,95.57118275004943,34.02801215144476,129.5991949014942,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S0/metrics/metrics.json
AHL-DINO,S1,ok,calib_best_f1_with_recall_ge_0.90,0.16336134,0.5943396226415094,0.9,0.7159090909090909,0.8,63,43,137,7,0.9407142857142857,0.8925614230787714,100,1,100,49,180,70,95.57118275004943,39.40839951106331,134.97958226111274,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S1/metrics/metrics.json
AHL-DINO,S2,ok,calib_best_f1_with_recall_ge_0.90,0.18092994,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,67,115,65,3,0.8650000000000001,0.8121509754192805,150,3,100,49,180,70,95.57118275004943,37.12744047552496,132.6986232255744,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S2/metrics/metrics.json
AHL-DINO,S3,ok,calib_best_f1_with_recall_ge_0.85,0.28994757,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,64,33,147,6,0.930793650793651,0.8905048392978435,200,5,100,49,180,70,95.57118275004943,39.81101754025782,135.38220029030725,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S3/metrics/metrics.json
AHL-DINO,S4,ok,calib_best_f1_with_recall_ge_0.85,0.41444522,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,65,36,144,5,0.9392063492063492,0.9040583705628493,300,10,100,49,180,70,95.57118275004943,33.908619981884655,129.4798027319341,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S4/metrics/metrics.json
AHL-DINO,S5,ok,calib_best_f1_with_recall_ge_0.85,0.4376151,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,62,25,155,8,0.944047619047619,0.9059148331323722,400,20,100,49,180,70,95.57118275004943,38.82859149168159,134.39977424173102,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S5/metrics/metrics.json
AHL-DINO,S6,ok,calib_best_f1_with_recall_ge_0.85,0.50008345,0.6875,0.9428571428571428,0.7951807228915663,0.864,66,30,150,4,0.955952380952381,0.9191105517393378,420,40,100,49,180,70,95.57118275004943,42.692562934001884,138.26374568405132,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S6/metrics/metrics.json
AHL-DINO,S7,ok,calib_best_f1,0.5805198,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,47,2,178,23,0.9515079365079364,0.9117651201420736,420,60,100,49,180,70,95.57118275004943,37.25001695834305,132.8211997083925,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S7/metrics/metrics.json
AHL-DINO,S8,ok,calib_best_f1,0.4777651,0.8484848484848485,0.8,0.823529411764706,0.904,56,10,170,14,0.9361904761904762,0.8881426079716889,420,80,100,49,180,70,95.57118275004943,43.23878685213196,138.80996960218138,,,output/20260529_ahl_dino_large_180_70_val49_stage_v1/stages/S8/metrics/metrics.json
ADP-only-DINO,S0,ok,calib_best_f1_with_recall_ge_0.90,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,69,39,141,1,0.9690476190476192,0.9150818859353809,,,,,180,70,104.33948828014813,15.948788400618056,120.29266356254804,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S0/metrics/metrics.json
ADP-only-DINO,S1,ok,calib_best_f1_with_recall_ge_0.90,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,69,39,141,1,0.9690476190476192,0.9150818859353809,,,,,180,70,102.61068836946909,16.053257951218832,118.66816189746959,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S1/metrics/metrics.json
ADP-only-DINO,S2,ok,calib_best_f1_with_recall_ge_0.90,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,69,39,141,1,0.9690476190476192,0.9150818859353809,,,,,180,70,85.1636747351117,15.068975214223217,100.23703703652124,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S2/metrics/metrics.json
ADP-only-DINO,S3,ok,calib_best_f1_with_recall_ge_0.85,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1,0.9690476190476192,0.9150818859353809,,,,,180,70,83.51698204324136,15.304856634883205,98.82596415469895,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S3/metrics/metrics.json
ADP-only-DINO,S4,ok,calib_best_f1_with_recall_ge_0.85,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1,0.9690476190476192,0.9150818859353809,,,,,180,70,81.383825587879,15.31883209178173,96.7071383005769,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S4/metrics/metrics.json
ADP-only-DINO,S5,ok,calib_best_f1_with_recall_ge_0.85,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1,0.9690476190476192,0.9150818859353809,,,,,180,70,77.92357486534985,15.6597948182645,93.58741701312158,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S5/metrics/metrics.json
ADP-only-DINO,S6,ok,calib_best_f1_with_recall_ge_0.85,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,69,35,145,1,0.9690476190476192,0.9150818859353809,,,,,180,70,91.60203114151955,15.742469667678787,107.34914639791974,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S6/metrics/metrics.json
ADP-only-DINO,S7,ok,calib_best_f1,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,59,11,169,11,0.9690476190476192,0.9150818859353809,,,,,180,70,101.49195114323369,14.600844530944238,116.09707823382658,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S7/metrics/metrics.json
ADP-only-DINO,S8,ok,calib_best_f1,1.7078936100006104,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,59,11,169,11,0.9690476190476192,0.9150818859353809,,,,,180,70,99.53234578368433,15.191313199101385,114.72779743252019,,,output/20260529_adpretrain_only_dino_large_180_70_val49_all_stage_p95_safe/stages/S8/metrics/metrics.json
YOLO26s-eval,S0,skipped,,,,,,,,,,,,,50,0,,,180,70,,,,,YOLO supervised training requires at least one anomaly sample; S0 has none.,output/20260529_yolo26s_cls_fixed_180_70_val49_eval_only/stages/S0/metrics/metrics.json
