method,stage,policy,recall_floor,constraint_satisfied,threshold,calib_precision,calib_recall,calib_f1,calib_accuracy,calib_fpr,calib_fp,calib_fn,test_precision,test_recall,test_f1,test_accuracy,test_fpr,test_fp,test_fn,auc_roc,auc_pr
AHL-DINO,S0,calib_best_f1_with_recall_ge_0.90,0.9,True,-0.6529957,0.4090909090909091,0.9183673469387755,0.5660377358490567,0.5369127516778524,0.65,65,4,0.4025974025974026,0.8857142857142857,0.5535714285714286,0.6,0.5111111111111111,92,8,0.8473015873015873,0.7653125417887732
AHL-DINO,S1,calib_best_f1_with_recall_ge_0.90,0.9,True,0.16336134,0.45098039215686275,0.9387755102040817,0.609271523178808,0.6040268456375839,0.56,56,3,0.5943396226415094,0.9,0.7159090909090909,0.8,0.2388888888888889,43,7,0.9407142857142857,0.8925614230787714
AHL-DINO,S2,calib_best_f1_with_recall_ge_0.90,0.9,True,0.18092994,0.42201834862385323,0.9387755102040817,0.5822784810126582,0.5570469798657718,0.63,63,3,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,0.6388888888888888,115,3,0.8650000000000001,0.8121509754192805
AHL-DINO,S3,calib_best_f1_with_recall_ge_0.85,0.85,True,0.28994757,0.5185185185185185,0.8571428571428571,0.6461538461538462,0.6912751677852349,0.39,39,7,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,0.18333333333333332,33,6,0.930793650793651,0.8905048392978435
AHL-DINO,S4,calib_best_f1_with_recall_ge_0.85,0.85,True,0.41444522,0.4574468085106383,0.8775510204081632,0.6013986013986014,0.6174496644295302,0.51,51,6,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,0.2,36,5,0.9392063492063492,0.9040583705628493
AHL-DINO,S5,calib_best_f1_with_recall_ge_0.85,0.85,True,0.4376151,0.49411764705882355,0.8571428571428571,0.626865671641791,0.6644295302013423,0.43,43,7,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.1388888888888889,25,8,0.944047619047619,0.9059148331323722
AHL-DINO,S6,calib_best_f1_with_recall_ge_0.85,0.85,True,0.50008345,0.47368421052631576,0.9183673469387755,0.6249999999999999,0.6375838926174496,0.5,50,4,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.16666666666666666,30,4,0.955952380952381,0.9191105517393378
AHL-DINO,S7,calib_best_f1,,True,0.5805198,0.825,0.673469387755102,0.7415730337078652,0.8456375838926175,0.07,7,16,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.011111111111111112,2,23,0.9515079365079364,0.9117651201420736
AHL-DINO,S8,calib_best_f1,,True,0.4777651,0.6851851851851852,0.7551020408163265,0.7184466019417475,0.8053691275167785,0.17,17,12,0.8484848484848485,0.8,0.823529411764706,0.904,0.05555555555555555,10,14,0.9361904761904762,0.8881426079716889
ADP-only-DINO,S0,calib_best_f1_with_recall_ge_0.90,0.9,True,1.3743973970413208,0.5056179775280899,0.9183673469387755,0.6521739130434783,0.6778523489932886,0.44,44,4,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.21666666666666667,39,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S1,calib_best_f1_with_recall_ge_0.90,0.9,True,1.3743973970413208,0.5056179775280899,0.9183673469387755,0.6521739130434783,0.6778523489932886,0.44,44,4,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.21666666666666667,39,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S2,calib_best_f1_with_recall_ge_0.90,0.9,True,1.3743973970413208,0.5056179775280899,0.9183673469387755,0.6521739130434783,0.6778523489932886,0.44,44,4,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.21666666666666667,39,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S3,calib_best_f1_with_recall_ge_0.85,0.85,True,1.3925561904907227,0.5432098765432098,0.8979591836734694,0.676923076923077,0.7181208053691275,0.37,37,5,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.19444444444444445,35,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S4,calib_best_f1_with_recall_ge_0.85,0.85,True,1.3925561904907227,0.5432098765432098,0.8979591836734694,0.676923076923077,0.7181208053691275,0.37,37,5,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.19444444444444445,35,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S5,calib_best_f1_with_recall_ge_0.85,0.85,True,1.3925561904907227,0.5432098765432098,0.8979591836734694,0.676923076923077,0.7181208053691275,0.37,37,5,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.19444444444444445,35,1,0.9690476190476192,0.9150818859353809
ADP-only-DINO,S6,calib_best_f1_with_recall_ge_0.85,0.85,True,1.3925561904907227,0.5432098765432098,0.8979591836734694,0.676923076923077,0.7181208053691275,0.37,37,5,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.19444444444444445,35,1,0.9690476190476192,0.9150818859353809
