image_path,label,bridge_score,bridge_threshold,bridge_pred,bridge_margin,yolo_score,yolo_threshold,yolo_pred,yolo_margin,error_type
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_140.bmp,1,1.6030651230361823,2.17605756975357,0,-0.5729924467173875,0.9920473098754883,0.022553298622369766,1,0.9694940112531185,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_140.bmp,1,1.6030651230361823,2.17605756975357,0,-0.5729924467173875,0.9920473098754883,0.022553298622369766,1,0.9694940112531185,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_63.bmp,1,1.6149161822418034,2.17605756975357,0,-0.5611413875117663,0.9970069527626038,0.022553298622369766,1,0.974453654140234,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_63.bmp,1,1.6149161822418034,2.17605756975357,0,-0.5611413875117663,0.9970069527626038,0.022553298622369766,1,0.974453654140234,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_637.bmp,1,1.8748297177034754,2.17605756975357,0,-0.3012278520500944,0.010235974565148354,0.022553298622369766,0,-0.012317324057221413,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_637.bmp,1,1.8748297177034754,2.17605756975357,0,-0.3012278520500944,0.010235974565148354,0.022553298622369766,0,-0.012317324057221413,yolo_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_637.bmp,1,1.8748297177034754,2.17605756975357,0,-0.3012278520500944,0.010235974565148354,0.022553298622369766,0,-0.012317324057221413,common_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_831.bmp,1,2.8274903984016175,2.17605756975357,1,0.6514328286480477,0.0011621697340160608,0.022553298622369766,0,-0.021391128888353705,yolo_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_831.bmp,1,2.8274903984016175,2.17605756975357,1,0.6514328286480477,0.0011621697340160608,0.022553298622369766,0,-0.021391128888353705,yolo_missed_but_bridge_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_89.bmp,1,1.3745061667514118,2.17605756975357,0,-0.801551403002158,0.029046474024653435,0.022553298622369766,1,0.0064931754022836685,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__2_89.bmp,1,1.3745061667514118,2.17605756975357,0,-0.801551403002158,0.029046474024653435,0.022553298622369766,1,0.0064931754022836685,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__3_71.bmp,1,1.4629838681167577,2.17605756975357,0,-0.713073701636812,0.999594509601593,0.022553298622369766,1,0.9770412109792233,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__3_71.bmp,1,1.4629838681167577,2.17605756975357,0,-0.713073701636812,0.999594509601593,0.022553298622369766,1,0.9770412109792233,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__4_48.bmp,1,1.3778185075804439,2.17605756975357,0,-0.7982390621731259,0.8608523011207581,0.022553298622369766,1,0.8382990024983883,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__4_48.bmp,1,1.3778185075804439,2.17605756975357,0,-0.7982390621731259,0.8608523011207581,0.022553298622369766,1,0.8382990024983883,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__4_50.bmp,1,1.511862158699819,2.17605756975357,0,-0.6641954110537507,0.05667221173644066,0.022553298622369766,1,0.03411891311407089,bridge_fn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/defect/test_anomaly__test__defect__4_50.bmp,1,1.511862158699819,2.17605756975357,0,-0.6641954110537507,0.05667221173644066,0.022553298622369766,1,0.03411891311407089,bridge_missed_but_yolo_hit
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__1_61.bmp,0,-0.6135316247454378,2.17605756975357,0,-2.7895891944990074,0.04092802852392197,0.022553298622369766,1,0.0183747299015522,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__1_683.bmp,0,-0.46919050332289014,2.17605756975357,0,-2.64524807307646,0.03513241559267044,0.022553298622369766,1,0.012579116970300674,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__1_732.bmp,0,-0.32693656011003236,2.17605756975357,0,-2.5029941298636023,0.028050621971488,0.022553298622369766,1,0.005497323349118233,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__1_747.bmp,0,-0.5316361188974934,2.17605756975357,0,-2.707693688651063,0.027919860556721687,0.022553298622369766,1,0.005366561934351921,yolo_fp_but_bridge_tn
/gdata1/huangjd/data/yolo_qm_xiepai_6_1_cls_val_threshold_20260529/S6/test/good/test_normal__test__good__1_805.bmp,0,-0.31605063524345667,2.17605756975357,0,-2.4921082049970265,0.022988079115748405,0.022553298622369766,1,0.0004347804933786392,yolo_fp_but_bridge_tn
