Stage,Method,alpha,threshold,P,R,F1,Acc,AUC-ROC,AUC-PR,TP,FP,TN,FN,Total_ms
S1,ADP-only-DINO,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1,118.66816189746959
S1,AHL-DINO,,0.16336134,0.5943396226415094,0.9,0.7159090909090909,0.8,0.9407142857142857,0.8925614230787714,63,43,137,7,134.97958226111274
S1,early_bridge_candidate,0.7,0.44438890195913744,0.6796116504854369,1.0,0.8092485549132947,0.868,0.978015873015873,0.9323615237324557,70,33,147,0,134.97958226111274
S2,ADP-only-DINO,,1.3743973970413208,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1,100.23703703652124
S2,AHL-DINO,,0.18092994,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,0.8650000000000001,0.8121509754192805,67,115,65,3,132.6986232255744
S2,early_bridge_candidate,0.7,0.37109095537886905,0.6666666666666666,1.0,0.8,0.86,0.9767460317460318,0.9318488352557761,70,35,145,0,132.6986232255744
S3,ADP-only-DINO,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,98.82596415469895
S3,AHL-DINO,,0.28994757,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,0.930793650793651,0.8905048392978435,64,33,147,6,135.38220029030725
S3,early_bridge_candidate,0.6,0.5561666380512246,0.693069306930693,1.0,0.8187134502923976,0.876,0.9792063492063493,0.9359786009301923,70,31,149,0,135.38220029030725
S4,ADP-only-DINO,,1.3925561904907227,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1,96.7071383005769
S4,AHL-DINO,,0.41444522,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,0.9392063492063492,0.9040583705628493,65,36,144,5,129.4798027319341
S4,early_bridge_candidate,0.6,1.8614954855145847,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.948,0.9816666666666667,0.9437322724989505,69,12,168,1,129.4798027319341
