Method,Stage,Role,alpha,P,R,F1,Acc,AUC-ROC,AUC-PR,TP,FP,TN,FN
ADP-only-DINO,S0,cold_start_mainline,,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
AHL-DINO,S0,observation_not_standalone,,0.4025974025974026,0.8857142857142857,0.5535714285714286,0.6,0.8473015873015873,0.7653125417887732,62,92,88,8
ADP-AHL bridge v2,S0,not_applicable_use_adp_only,,,,,,,,,,,
YOLO26s-eval,S0,not_trainable,,,,,,,,,,,
ADP-only-DINO,S1,baseline_replaced_by_bridge_v2,,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
AHL-DINO,S1,observation_not_standalone,,0.5943396226415094,0.9,0.7159090909090909,0.8,0.9407142857142857,0.8925614230787714,63,43,137,7
ADP-AHL bridge v2,S1,early_bridge_mainline,0.70,0.6796116504854369,1.0,0.8092485549132947,0.868,0.978015873015873,0.9323615237324557,70,33,147,0
YOLO26s-eval,S1,supervised_observation,,0.28112449799196787,1.0,0.438871473354232,0.284,0.8905555555555555,0.8139237761325596,70,179,1,0
ADP-only-DINO,S2,baseline_replaced_by_bridge_v2,,0.6388888888888888,0.9857142857142858,0.7752808988764045,0.84,0.9690476190476192,0.9150818859353809,69,39,141,1
AHL-DINO,S2,observation_not_standalone,,0.36813186813186816,0.9571428571428572,0.5317460317460317,0.528,0.8650000000000001,0.8121509754192805,67,115,65,3
ADP-AHL bridge v2,S2,early_bridge_mainline,0.70,0.6666666666666666,1.0,0.8,0.86,0.9767460317460318,0.9318488352557761,70,35,145,0
YOLO26s-eval,S2,supervised_observation,,0.4397163120567376,0.8857142857142857,0.5876777251184835,0.652,0.8552380952380952,0.7986952195334793,62,79,101,8
ADP-only-DINO,S3,baseline_replaced_by_bridge_v2,,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S3,observation_not_standalone,,0.6597938144329897,0.9142857142857143,0.7664670658682634,0.844,0.930793650793651,0.8905048392978435,64,33,147,6
ADP-AHL bridge v2,S3,early_bridge_mainline,0.60,0.693069306930693,1.0,0.8187134502923976,0.876,0.9792063492063493,0.9359786009301923,70,31,149,0
YOLO26s-eval,S3,supervised_observation,,0.336734693877551,0.9428571428571428,0.4962406015037593,0.464,0.8743650793650793,0.8566468309880539,66,130,50,4
ADP-only-DINO,S4,baseline_replaced_by_bridge_v2,,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S4,observation_not_standalone,,0.6435643564356436,0.9285714285714286,0.760233918128655,0.836,0.9392063492063492,0.9040583705628493,65,36,144,5
ADP-AHL bridge v2,S4,early_bridge_mainline,0.60,0.8518518518518519,0.9857142857142858,0.9139072847682119,0.948,0.9816666666666667,0.9437322724989505,69,12,168,1
YOLO26s-eval,S4,supervised_observation,,0.52,0.9285714285714286,0.6666666666666666,0.74,0.9236507936507936,0.9022927660977198,65,60,120,5
ADP-only-DINO,S5,fallback_baseline,,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S5,complementary_baseline_not_standalone,,0.7126436781609196,0.8857142857142857,0.7898089171974522,0.868,0.944047619047619,0.9059148331323722,62,25,155,8
ADP-AHL bridge v2,S5,fewshot_transition_bridge_mainline,0.35,0.8767123287671232,0.9142857142857143,0.8951048951048951,0.94,0.9803174603174603,0.9410750894911254,64,9,171,6
YOLO26s-eval,S5,supervised_observation,,0.46206896551724136,0.9571428571428572,0.6232558139534884,0.676,0.936984126984127,0.9168763140109727,67,78,102,3
ADP-only-DINO,S6,fallback_baseline,,0.6634615384615384,0.9857142857142858,0.7931034482758621,0.856,0.9690476190476192,0.9150818859353809,69,35,145,1
AHL-DINO,S6,complementary_baseline_not_standalone,,0.6875,0.9428571428571428,0.7951807228915663,0.864,0.955952380952381,0.9191105517393378,66,30,150,4
ADP-AHL bridge v2,S6,fewshot_transition_bridge_mainline,0.35,0.875,0.9,0.8873239436619719,0.936,0.9825396825396826,0.9470662908317473,63,9,171,7
YOLO26s-eval,S6,supervised_switch_candidate,,0.7727272727272727,0.9714285714285714,0.8607594936708862,0.912,0.9817460317460318,0.9697081593078708,68,20,160,2
ADP-only-DINO,S7,fallback_baseline,,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
AHL-DINO,S7,complementary_baseline_not_standalone,,0.9591836734693877,0.6714285714285714,0.7899159663865546,0.9,0.9515079365079364,0.9117651201420736,47,2,178,23
ADP-AHL bridge v2,S7,fewshot_transition_bridge_mainline,0.35,0.8939393939393939,0.8428571428571429,0.8676470588235294,0.928,0.9811111111111112,0.942827778834465,59,7,173,11
YOLO26s-eval,S7,supervised_mainline,,0.8955223880597015,0.8571428571428571,0.8759124087591241,0.932,0.9673809523809525,0.9464235760579535,60,7,173,10
ADP-only-DINO,S8,fallback_baseline,,0.8428571428571429,0.8428571428571429,0.8428571428571429,0.912,0.9690476190476192,0.9150818859353809,59,11,169,11
AHL-DINO,S8,complementary_baseline_not_standalone,,0.8484848484848485,0.8,0.823529411764706,0.904,0.9361904761904762,0.8881426079716889,56,10,170,14
ADP-AHL bridge v2,S8,bridge_available_yolo_supervised_mainline,0.70,0.8923076923076924,0.8285714285714286,0.8592592592592593,0.924,0.9761111111111112,0.9276070419018873,58,7,173,12
YOLO26s-eval,S8,supervised_mainline,,0.8985507246376812,0.8857142857142857,0.8920863309352518,0.94,0.9789682539682538,0.963753158683637,62,7,173,8
