group,split,label,n,p05,p10,p25,p50,p75,p90,p95,max
cpu_baseline,calib,0,100,0.34403524547815323,0.3638524055480957,0.40197889506816864,0.45098936557769775,0.5084282606840134,0.5679669916629791,0.6041691482067107,0.7773382067680359
cpu_baseline,calib,1,49,0.3539374232292175,0.3818895697593689,0.4571271240711212,0.5665414929389954,0.6893699169158936,0.8644323229789735,0.9098179459571837,1.068387508392334
cpu_baseline,test,0,180,0.3242009714245796,0.341003555059433,0.36463557928800583,0.3960687816143036,0.4373956769704819,0.4948762685060501,0.5360758244991303,0.8045823574066162
cpu_baseline,test,1,70,0.46104945987463,0.5076575011014939,0.5863849520683289,0.6530575156211853,0.7190637588500977,0.8112309217453003,0.844099685549736,1.128699541091919
gpu_no_retrain,calib,0,100,0.35303799957036974,0.3691957116127014,0.4007882922887802,0.451990082859993,0.5064692199230194,0.5711454749107361,0.6096179068088531,0.7568070292472839
gpu_no_retrain,calib,1,49,0.35819314122200013,0.40254349112510684,0.4711882472038269,0.5708162784576416,0.6890727877616882,0.8658350348472595,0.8966935276985167,1.0442997217178345
gpu_no_retrain,test,0,180,0.32617356777191164,0.3424981653690338,0.35897591710090637,0.38560850918293,0.4369780272245407,0.49183546006679535,0.5415755957365035,0.8129234313964844
gpu_no_retrain,test,1,70,0.46056719720363615,0.5033706843852996,0.5674967765808105,0.6553446352481842,0.7326135635375977,0.8040989339351654,0.8406003326177597,1.117116093635559
gpu_retrain,calib,0,100,0.36418285965919495,0.39913961887359617,0.4365096837282181,0.4814216047525406,0.5457486212253571,0.6160744965076448,0.6681150913238525,0.8552072644233704
gpu_retrain,calib,1,49,0.3406512260437012,0.38837450742721563,0.5292413234710693,0.5961578488349915,0.7692180275917053,0.9223706722259523,1.0218274593353271,1.2005603313446045
gpu_retrain,test,0,180,0.3571784943342209,0.3710481733083725,0.3992026224732399,0.4385374188423157,0.49793771654367447,0.5388780415058136,0.5700786232948301,0.8758203387260437
gpu_retrain,test,1,70,0.4842330276966095,0.5266763865947723,0.6031200140714645,0.7045513391494751,0.7851222604513168,0.8798135161399842,0.9521661311388014,1.1866998672485352
