method,stage,alpha,threshold,precision,recall,f1,accuracy,auc_roc,auc_pr,tp,fp,tn,fn
ADP-only-DINO,S0,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1
AHL-DINO,S0,,-0.28143865,0.2804878048780488,0.9857142857142858,0.43670886075949367,0.288,0.2785714285714286,0.21326561271777672,69,177,3,1
ADP-only-DINO,S1,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1
AHL-DINO,S1,,0.18079501,0.6237623762376238,0.9,0.736842105263158,0.82,0.9446825396825397,0.8967946887173156,63,38,142,7
ADP-AHL-bridge-v2,S1,0.7,0.26269099279348895,0.7,1.0,0.8235294117647058,0.88,0.976031746031746,0.9248986058360635,70,30,150,0
ADP-only-DINO,S2,,1.3538457155227661,0.6160714285714286,0.9857142857142858,0.7582417582417583,0.824,0.9647619047619047,0.9046693689589801,69,43,137,1
AHL-DINO,S2,,0.20829117,0.4155844155844156,0.9142857142857143,0.5714285714285715,0.616,0.8841269841269841,0.8325674182318056,64,90,90,6
ADP-AHL-bridge-v2,S2,0.7,0.13172669167224443,0.6363636363636364,1.0,0.7777777777777778,0.84,0.9752380952380952,0.9272561713103631,70,40,140,0
ADP-only-DINO,S3,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3
AHL-DINO,S3,,0.2660994,0.6736842105263158,0.9142857142857143,0.7757575757575758,0.852,0.9442063492063492,0.9040615913510222,64,31,149,6
ADP-AHL-bridge-v2,S3,0.6,0.42715787343107375,0.7216494845360825,1.0,0.8383233532934131,0.892,0.9784920634920635,0.9339158439209247,70,27,153,0
ADP-only-DINO,S4,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3
AHL-DINO,S4,,0.40469185,0.6702127659574468,0.9,0.7682926829268293,0.848,0.9451587301587302,0.9027564810729893,63,31,149,7
ADP-AHL-bridge-v2,S4,0.6,1.5070382841489345,0.8271604938271605,0.9571428571428572,0.8874172185430464,0.932,0.9785714285714286,0.9333428686163909,67,14,166,3
ADP-only-DINO,S5,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3
AHL-DINO,S5,,0.38591564,0.47794117647058826,0.9285714285714286,0.6310679611650486,0.696,0.9221428571428573,0.8795529604475308,65,71,109,5
ADP-AHL-bridge-v2,S5,0.35,1.7739635554171098,0.8888888888888888,0.9142857142857143,0.9014084507042254,0.944,0.98,0.9404559117205382,64,8,172,6
ADP-only-DINO,S6,,1.4569981098175049,0.7362637362637363,0.9571428571428572,0.8322981366459627,0.892,0.9647619047619047,0.9046693689589801,67,24,156,3
AHL-DINO,S6,,0.46203592,0.5701754385964912,0.9285714285714286,0.7065217391304348,0.784,0.9318253968253969,0.8897580939920892,65,49,131,5
ADP-AHL-bridge-v2,S6,0.35,1.6129920183176925,0.8783783783783784,0.9285714285714286,0.9027777777777779,0.944,0.9811111111111112,0.9428923429666782,65,9,171,5
ADP-only-DINO,S7,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12
AHL-DINO,S7,,0.4394126,0.875,0.8,0.8358208955223881,0.912,0.9328571428571428,0.8999541437259194,56,8,172,14
ADP-AHL-bridge-v2,S7,0.35,1.926465871003336,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.928,0.9826190476190476,0.951491271898498,61,9,171,9
ADP-only-DINO,S8,,1.7468479871749878,0.8529411764705882,0.8285714285714286,0.8405797101449276,0.912,0.9647619047619047,0.9046693689589801,58,10,170,12
AHL-DINO,S8,,0.58820677,0.95,0.5428571428571428,0.6909090909090908,0.864,0.9248412698412697,0.8886979914120792,38,2,178,32
ADP-AHL-bridge-v2,S8,0.7,3.0358373245256813,0.864406779661017,0.7285714285714285,0.7906976744186046,0.892,0.9780158730158731,0.9360389014024447,51,8,172,19
