method,stage,cpu_f1,gpu_f1,delta_f1_gpu_minus_cpu,cpu_recall,gpu_recall,delta_recall_gpu_minus_cpu,cpu_auc_pr,gpu_auc_pr,delta_auc_pr_gpu_minus_cpu,cpu_threshold,gpu_threshold,aligned_test,score_abs_median,score_abs_p95,pred_changed_self,pred_changed_fixed_cpu_thr,cpu_delta_f1_vs_v2,gpu_delta_f1_vs_v2
ADP-only-DINO,S0,0.7752808988764045,0.7582417582417583,-0.017039140634646177,0.9857142857142858,0.9857142857142858,0.0,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3743973970413208,1.3538457155227661,250,0.011993408203125,0.08966954350471495,8,6,0.0,-0.017039140634646177
AHL-DINO,S0,0.5535714285714286,0.43670886075949367,-0.11686256781193494,0.8857142857142857,0.9857142857142858,0.10000000000000009,0.7653125417887732,0.21326561271777672,-0.5520469290709964,-0.6529957,-0.28143865,250,0.6651813010000001,0.9563915995,98,96,0.0,-0.11686256781193494
ADP-only-DINO,S1,0.7752808988764045,0.7582417582417583,-0.017039140634646177,0.9857142857142858,0.9857142857142858,0.0,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3743973970413208,1.3538457155227661,250,0.011993408203125,0.08966954350471495,8,6,0.0,-0.017039140634646177
AHL-DINO,S1,0.7159090909090909,0.736842105263158,0.020933014354067025,0.9,0.9,0.0,0.8925614230787714,0.8967946887173156,0.004233265638544204,0.16336134,0.18079501,250,0.014851897,0.060197606500000014,5,3,0.0,0.020933014354067025
ADP-AHL-bridge-v2,S1,0.8092485549132947,0.8235294117647058,0.014280856851411117,1.0,1.0,0.0,0.9323615237324557,0.9248986058360635,-0.007462917896392196,0.44438890195913744,0.26269099279348895,250,0.13098537819049783,1.0456559917002974,3,6,0.0,0.014280856851411117
ADP-only-DINO,S2,0.7752808988764045,0.7582417582417583,-0.017039140634646177,0.9857142857142858,0.9857142857142858,0.0,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3743973970413208,1.3538457155227661,250,0.011993408203125,0.08966954350471495,8,6,0.0,-0.017039140634646177
AHL-DINO,S2,0.5317460317460317,0.5714285714285715,0.039682539682539764,0.9571428571428572,0.9142857142857143,-0.04285714285714293,0.8121509754192805,0.8325674182318056,0.020416442812525082,0.18092994,0.20829117,250,0.016324594999999997,0.057246642499999945,30,9,0.0,0.039682539682539764
ADP-AHL-bridge-v2,S2,0.8,0.7777777777777778,-0.022222222222222254,1.0,1.0,0.0,0.9318488352557761,0.9272561713103631,-0.0045926639454130225,0.37109095537886905,0.13172669167224443,250,0.14127600299857504,0.9509253512295347,7,7,0.0,-0.022222222222222254
ADP-only-DINO,S3,0.7931034482758621,0.8322981366459627,0.03919468837010065,0.9857142857142858,0.9571428571428572,-0.02857142857142858,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3925561904907227,1.4569981098175049,250,0.011993408203125,0.08966954350471495,13,5,0.0,0.03919468837010065
AHL-DINO,S3,0.7664670658682634,0.7757575757575758,0.009290509889312348,0.9142857142857143,0.9142857142857143,0.0,0.8905048392978435,0.9040615913510222,0.013556752053178633,0.28994757,0.2660994,250,0.042652224999999974,0.17088268350000002,8,10,0.0,0.009290509889312348
ADP-AHL-bridge-v2,S3,0.8187134502923976,0.8383233532934131,0.019609903001015505,1.0,1.0,0.0,0.9359786009301923,0.9339158439209247,-0.002062757009267502,0.5561666380512246,0.42715787343107375,250,0.18693722618044664,0.8614115518762853,4,7,0.0,0.019609903001015505
ADP-only-DINO,S4,0.7931034482758621,0.8322981366459627,0.03919468837010065,0.9857142857142858,0.9571428571428572,-0.02857142857142858,0.9150818859353809,0.9046693689589801,-0.010412516976400776,1.3925561904907227,1.4569981098175049,250,0.011993408203125,0.08966954350471495,13,5,0.0,0.03919468837010065
AHL-DINO,S4,0.760233918128655,0.7682926829268293,0.008058764798174245,0.9285714285714286,0.9,-0.02857142857142858,0.9040583705628493,0.9027564810729893,-0.0013018894898599864,0.41444522,0.40469185,250,0.041510675000000025,0.08785162700000004,13,12,0.0,0.008058764798174245
ADP-AHL-bridge-v2,S4,0.9139072847682119,0.8874172185430464,-0.026490066225165476,0.9857142857142858,0.9571428571428572,-0.02857142857142858,0.9437322724989505,0.9333428686163909,-0.0103894038825596,1.8614954855145847,1.5070382841489345,250,0.2205492919927444,1.653306982386331,4,6,0.0,-0.026490066225165476
